
# Curve 0 of 1, 168 points
# Curve title: ""../test/compressor_per_day_kwh_pcomps.data" u 3"
# x y type
 0 -4.0757  i
 1 -5.0183  i
 2 -5.4314  i
 3 -5.5726  i
 4 -5.4466  i
 5 -5.0504  i
 6 -4.2423  i
 7 -3.1787  i
 8 -1.8911  i
 9 -0.3753  i
 10  1.1198  i
 11  2.3619  i
 12  3.3888  i
 13  4.2573  i
 14  4.9961  i
 15  5.5452  i
 16  5.5875  i
 17  5.2918  i
 18  4.6259  i
 19  3.4532  i
 20  2.1209  i
 21  0.7968  i
 22 -0.4443  i
 23 -1.8561  i
 24 -3.4022  i
 25 -4.5772  i
 26 -5.28  i
 27 -5.7046  i
 28 -5.8784  i
 29 -5.7691  i
 30 -5.1775  i
 31 -4.2522  i
 32 -2.9552  i
 33 -1.4924  i
 34  0.0748  i
 35  1.5786  i
 36  2.8997  i
 37  4.0228  i
 38  4.9544  i
 39  5.5858  i
 40  5.9627  i
 41  5.9893  i
 42  5.5226  i
 43  4.6126  i
 44  3.4571  i
 45  2.2381  i
 46  0.9235  i
 47 -0.6454  i
 48 -2.3301  i
 49 -3.6776  i
 50 -4.5315  i
 51 -5.1648  i
 52 -5.5931  i
 53 -5.6888  i
 54 -5.3313  i
 55 -4.7114  i
 56 -3.6898  i
 57 -2.4693  i
 58 -1.0913  i
 59  0.3774  i
 60  1.8616  i
 61  3.1655  i
 62  4.3438  i
 63  5.3159  i
 64  5.8947  i
 65  6.0269  i
 66  5.8896  i
 67  5.2745  i
 68  4.3299  i
 69  3.155  i
 70  1.8909  i
 71  0.3277  i
 72 -1.3859  i
 73 -2.7909  i
 74 -3.868  i
 75 -4.7673  i
 76 -5.4725  i
 77 -5.8503  i
 78 -5.7095  i
 79 -5.1482  i
 80 -4.3164  i
 81 -3.277  i
 82 -2.0242  i
 83 -0.6996  i
 84  0.6996  i
 85  2.0242  i
 86  3.277  i
 87  4.3164  i
 88  5.1482  i
 89  5.7095  i
 90  5.8503  i
 91  5.4725  i
 92  4.7673  i
 93  3.868  i
 94  2.7909  i
 95  1.3859  i
 96 -0.3277  i
 97 -1.8909  i
 98 -3.155  i
 99 -4.3299  i
 100 -5.2745  i
 101 -5.8896  i
 102 -6.0269  i
 103 -5.8947  i
 104 -5.3159  i
 105 -4.3438  i
 106 -3.1655  i
 107 -1.8616  i
 108 -0.3774  i
 109  1.0913  i
 110  2.4693  i
 111  3.6898  i
 112  4.7114  i
 113  5.3313  i
 114  5.6888  i
 115  5.5931  i
 116  5.1648  i
 117  4.5315  i
 118  3.6776  i
 119  2.3301  i
 120  0.6454  i
 121 -0.9235  i
 122 -2.2381  i
 123 -3.4571  i
 124 -4.6126  i
 125 -5.5226  i
 126 -5.9893  i
 127 -5.9627  i
 128 -5.5858  i
 129 -4.9544  i
 130 -4.0228  i
 131 -2.8997  i
 132 -1.5786  i
 133 -0.0748  i
 134  1.4924  i
 135  2.9552  i
 136  4.2522  i
 137  5.1775  i
 138  5.7691  i
 139  5.8784  i
 140  5.7046  i
 141  5.28  i
 142  4.5772  i
 143  3.4022  i
 144  1.8561  i
 145  0.4443  i
 146 -0.7968  i
 147 -2.1209  i
 148 -3.4532  i
 149 -4.6259  i
 150 -5.2918  i
 151 -5.5875  i
 152 -5.5452  i
 153 -4.9961  i
 154 -4.2573  i
 155 -3.3888  i
 156 -2.3619  i
 157 -1.1198  i
 158  0.3753  i
 159  1.8911  i
 160  3.1787  i
 161  4.2423  i
 162  5.0504  i
 163  5.4466  i
 164  5.5726  i
 165  5.4314  i
 166  5.0183  i
 167  4.0757  i

